Angles,Carriage,SID,FX,FY,FZ,DetX,DetY,FXCorr,FYCorr,FZCorr,DetXCorr,DetYCorr
-18.9,58.9571428571428,1104.0,-298.6476868336141,0.0,1044.47823614561,-154.01485988753188,-212.97200274467468,-304.77641335178754,1.4793446638480572,1057.0173898591775,-154.4704785461222,-213.3248107127094
-18.2,56.75714285714275,1104.0,-288.06060718036196,0.0,1048.7691448832163,-156.21485988753193,-212.97200274467468,-294.3158199801818,1.4873407776894396,1059.1820817930427,-156.47721113193467,-213.2423631605641
-17.5,54.55714285714271,1104.0,-277.4220597955748,0.0,1052.9035136260425,-158.41485988753197,-212.97200274467468,-282.7635328714767,1.452968836874527,1062.3085188359328,-158.64024095391096,-213.23292415274295
-16.9,52.35714285714289,1104.0,-268.57807887532783,0.0,1056.3221967995985,-160.6148598875318,-212.97200274467468,-271.9758585822683,1.125112402311596,1066.1338761239022,-160.8833723212166,-213.1672591394954
-16.2,50.25714285714275,1104.0,-257.7490382101663,0.0,1060.164228987345,-162.71485988753193,-212.97200274467468,-261.43851073655173,1.1770462510052555,1068.8200973180276,-163.01348049045018,-213.23326478555026
-15.6,48.157142857142844,1104.0,-248.73033910211052,0.0,1063.3314737446146,-164.81485988753184,-212.97200274467468,-247.0238509184487,1.068711814996094,1067.2652392691753,-165.239206823291,-213.2264392768159
-14.9,46.05714285714271,1104.0,-237.8174607856419,0.0,1066.8791915707475,-166.91485988753197,-212.97200274467468,-236.409937003434,1.0784958932442226,1071.016496584507,-167.2504824807488,-213.18072084259035
-14.2,43.85714285714289,1104.0,-226.96221115305514,0.0,1070.2676662842332,-169.1148598875318,-212.97200274467468,-225.46314385048046,0.7760301821036169,1072.199256337395,-169.55359051387933,-213.1418593672506
-13.6,41.657142857142844,1104.0,-217.9397500081165,0.0,1073.0449446387152,-171.31485988753184,-212.97200274467468,-215.06743176669644,0.9702029422276036,1075.012892162653,-171.85472626514968,-213.13741050362103
-12.9,39.55714285714271,1104.0,-206.91098521894762,0.0,1076.1363583871089,-173.41485988753197,-212.97200274467468,-204.28838711901707,0.6027181007276567,1076.946348465848,-173.86361121233278,-213.09288401845316
-12.2,37.4571428571428,1104.0,-195.84543242960623,0.0,1079.0671472918498,-175.51485988753188,-212.97200274467468,-193.6924113177785,0.8883873277810062,1080.0002467229035,-175.86103942555957,-213.12302524361726
-11.6,35.4571428571428,1104.0,-186.5328820880022,0.0,1081.451075557676,-177.51485988753188,-212.97200274467468,-183.67176855974387,0.3408543471246301,1082.3979068860629,-177.8477179005816,-213.0501248058475
-10.9,33.25714285714275,1104.0,-175.50422620369724,0.0,1084.0824188168738,-179.71485988753193,-212.97200274467468,-174.05619541667392,1.4056793847494888,1083.3434519432185,-179.5869615855156,-213.26764814759915
-10.2,31.257142857142753,1104.0,-164.24441045567718,0.0,1086.551951198043,-181.71485988753193,-212.97200274467468,-163.57869443287075,0.9971275624461058,1084.6414758720507,-181.7322530764573,-213.16091042686273
-9.6,29.057142857142708,1104.0,-155.0555535174342,0.0,1088.5396249258374,-183.91485988753197,-212.97200274467468,-155.56495110501757,1.5399834899507894,1088.8063177654112,-183.66983734041779,-213.30020357008112
-8.9,26.9571428571428,1104.0,-143.84312361746998,0.0,1090.7076918094056,-186.01485988753188,-212.97200274467468,-144.27080756245107,1.4883135911868037,1090.7743062301852,-185.70984592366221,-213.3008655996825
-8.3,24.9571428571428,1104.0,-134.41210304793162,0.0,1092.4364711321423,-188.01485988753188,-212.97200274467468,-133.9289412137677,0.982324409965351,1091.2483649568178,-187.6282341743115,-213.1914844759119
-7.6,22.9571428571428,1104.0,-123.05391198672038,0.0,1094.301956437702,-190.01485988753188,-212.97200274467468,-123.32065873188589,1.3523871023581506,1095.266939050167,-189.80195807437087,-213.2919856048367
-6.9,20.9571428571428,1104.0,-111.67392721630759,0.0,1096.0041054901078,-192.01485988753188,-212.97200274467468,-112.84527989410479,0.4391208560756584,1098.0365589261803,-191.92239959043076,-213.0682109105805
-6.3,18.9571428571428,1104.0,-102.18953658737117,0.0,1097.3328948225185,-194.01485988753188,-212.97200274467468,-102.14185066288351,0.0704464678077049,1098.944019068871,-193.9398486834328,-212.99074881223308
-5.6,16.9571428571428,1104.0,-90.77437847695822,0.0,1098.7310495799416,-196.01485988753188,-212.97200274467468,-90.22470221008213,0.05144477931997327,1099.570190657815,-195.99634874013614,-213.01048728678757
-4.9,14.957142857142799,1104.0,-79.34314028651089,0.0,1099.9652069947606,-198.01485988753188,-212.97200274467468,-79.53997801222818,0.32728125819118775,1101.812727303472,-197.85761080350434,-212.97859370596544
-4.3,12.85714285714289,1104.0,-69.9193715591229,0.0,1100.8923874117277,-200.1148598875318,-212.97200274467468,-68.63537313550832,0.1834035493088579,1101.0834414216683,-200.12647612003835,-212.94116170997688
-3.6,10.957142857142799,1104.0,-58.36359070321916,0.0,1101.8215081848118,-202.01485988753188,-212.97200274467468,-58.08633630449142,-0.11999942943657047,1102.001101609067,-201.9257424381498,-212.91779880078178
-3.0,8.957142857142799,1104.0,-48.82175283506719,0.0,1102.4870063690496,-204.01485988753188,-212.97200274467468,-46.466246320128676,-0.16333267908387952,1102.6773772646497,-204.00344657964683,-212.93134931100997
